Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/1/16 00:00,2016,1,1,0,240,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 01:00,2016,1,1,1,221,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 02:00,2016,1,1,2,204,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 03:00,2016,1,1,3,190,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 04:00,2016,1,1,4,195,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 05:00,2016,1,1,5,196,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 06:00,2016,1,1,6,190,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 07:00,2016,1,1,7,206,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 08:00,2016,1,1,8,207,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 09:00,2016,1,1,9,210,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 10:00,2016,1,1,10,205,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 11:00,2016,1,1,11,206,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 12:00,2016,1,1,12,209,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 13:00,2016,1,1,13,200,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 14:00,2016,1,1,14,184,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 15:00,2016,1,1,15,148,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 16:00,2016,1,1,16,121,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 17:00,2016,1,1,17,131,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 18:00,2016,1,1,18,139,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 19:00,2016,1,1,19,153,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 20:00,2016,1,1,20,183,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 21:00,2016,1,1,21,177,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 22:00,2016,1,1,22,211,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/1/16 23:00,2016,1,1,23,209,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 00:00,2016,1,2,0,227,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 01:00,2016,1,2,1,224,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 02:00,2016,1,2,2,226,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 03:00,2016,1,2,3,226,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 04:00,2016,1,2,4,213,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 05:00,2016,1,2,5,210,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 06:00,2016,1,2,6,211,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 07:00,2016,1,2,7,197,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 08:00,2016,1,2,8,189,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 09:00,2016,1,2,9,203,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 10:00,2016,1,2,10,209,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 11:00,2016,1,2,11,210,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 12:00,2016,1,2,12,180,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 13:00,2016,1,2,13,162,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 14:00,2016,1,2,14,144,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 15:00,2016,1,2,15,132,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 16:00,2016,1,2,16,118,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 17:00,2016,1,2,17,132,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 18:00,2016,1,2,18,143,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 19:00,2016,1,2,19,138,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 20:00,2016,1,2,20,115,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 21:00,2016,1,2,21,117,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 22:00,2016,1,2,22,128,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/2/16 23:00,2016,1,2,23,126,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 00:00,2016,1,3,0,121,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 01:00,2016,1,3,1,132,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 02:00,2016,1,3,2,134,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 03:00,2016,1,3,3,117,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 04:00,2016,1,3,4,111,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 05:00,2016,1,3,5,97,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 06:00,2016,1,3,6,104,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 07:00,2016,1,3,7,146,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 08:00,2016,1,3,8,165,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 09:00,2016,1,3,9,167,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 10:00,2016,1,3,10,172,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 11:00,2016,1,3,11,152,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 12:00,2016,1,3,12,155,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 13:00,2016,1,3,13,141,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 14:00,2016,1,3,14,125,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 15:00,2016,1,3,15,132,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 16:00,2016,1,3,16,128,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 17:00,2016,1,3,17,130,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 18:00,2016,1,3,18,143,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 19:00,2016,1,3,19,158,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 20:00,2016,1,3,20,167,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 21:00,2016,1,3,21,145,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 22:00,2016,1,3,22,144,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/3/16 23:00,2016,1,3,23,163,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 00:00,2016,1,4,0,183,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 01:00,2016,1,4,1,178,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 02:00,2016,1,4,2,164,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 03:00,2016,1,4,3,176,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 04:00,2016,1,4,4,174,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 05:00,2016,1,4,5,176,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 06:00,2016,1,4,6,189,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 07:00,2016,1,4,7,222,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 08:00,2016,1,4,8,233,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 09:00,2016,1,4,9,244,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 10:00,2016,1,4,10,248,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 11:00,2016,1,4,11,246,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 12:00,2016,1,4,12,219,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 13:00,2016,1,4,13,162,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 14:00,2016,1,4,14,112,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 15:00,2016,1,4,15,100,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 16:00,2016,1,4,16,83,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 17:00,2016,1,4,17,98,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 18:00,2016,1,4,18,129,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 19:00,2016,1,4,19,146,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 20:00,2016,1,4,20,140,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 21:00,2016,1,4,21,136,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 22:00,2016,1,4,22,121,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/4/16 23:00,2016,1,4,23,125,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 00:00,2016,1,5,0,122,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 01:00,2016,1,5,1,130,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 02:00,2016,1,5,2,134,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 03:00,2016,1,5,3,166,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 04:00,2016,1,5,4,178,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 05:00,2016,1,5,5,189,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 06:00,2016,1,5,6,201,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 07:00,2016,1,5,7,222,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 08:00,2016,1,5,8,195,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 09:00,2016,1,5,9,191,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 10:00,2016,1,5,10,194,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 11:00,2016,1,5,11,215,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 12:00,2016,1,5,12,222,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 13:00,2016,1,5,13,184,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 14:00,2016,1,5,14,175,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 15:00,2016,1,5,15,164,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 16:00,2016,1,5,16,177,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 17:00,2016,1,5,17,172,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 18:00,2016,1,5,18,165,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 19:00,2016,1,5,19,157,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 20:00,2016,1,5,20,156,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 21:00,2016,1,5,21,150,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 22:00,2016,1,5,22,150,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/5/16 23:00,2016,1,5,23,141,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 00:00,2016,1,6,0,139,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 01:00,2016,1,6,1,152,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 02:00,2016,1,6,2,135,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 03:00,2016,1,6,3,130,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 04:00,2016,1,6,4,139,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 05:00,2016,1,6,5,150,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 06:00,2016,1,6,6,161,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 07:00,2016,1,6,7,170,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 08:00,2016,1,6,8,173,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 09:00,2016,1,6,9,174,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 10:00,2016,1,6,10,177,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 11:00,2016,1,6,11,163,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 12:00,2016,1,6,12,154,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 13:00,2016,1,6,13,221,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 14:00,2016,1,6,14,211,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 15:00,2016,1,6,15,212,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 16:00,2016,1,6,16,217,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 17:00,2016,1,6,17,156,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 18:00,2016,1,6,18,215,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 19:00,2016,1,6,19,214,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 20:00,2016,1,6,20,196,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 21:00,2016,1,6,21,184,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 22:00,2016,1,6,22,179,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/6/16 23:00,2016,1,6,23,152,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 00:00,2016,1,7,0,67,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 01:00,2016,1,7,1,92,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 02:00,2016,1,7,2,67,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 03:00,2016,1,7,3,55,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 04:00,2016,1,7,4,59,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 05:00,2016,1,7,5,47,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 06:00,2016,1,7,6,54,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 07:00,2016,1,7,7,46,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 08:00,2016,1,7,8,44,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 09:00,2016,1,7,9,63,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 10:00,2016,1,7,10,68,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 11:00,2016,1,7,11,71,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 12:00,2016,1,7,12,67,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 13:00,2016,1,7,13,65,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 14:00,2016,1,7,14,71,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 15:00,2016,1,7,15,71,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 16:00,2016,1,7,16,85,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 17:00,2016,1,7,17,89,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 18:00,2016,1,7,18,92,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 19:00,2016,1,7,19,99,µg/m_,1 Hr,Valid
Chengdu,PM2.5,1/7/16 20:00,2016,1,7,20,105,µg/m_,1 Hr,Valid
