Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/1/14 00:00,2014,1,1,0,100,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 01:00,2014,1,1,1,94,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 02:00,2014,1,1,2,93,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 03:00,2014,1,1,3,85,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 04:00,2014,1,1,4,76,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 05:00,2014,1,1,5,64,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 06:00,2014,1,1,6,74,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 07:00,2014,1,1,7,84,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 08:00,2014,1,1,8,90,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 09:00,2014,1,1,9,77,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 10:00,2014,1,1,10,91,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 11:00,2014,1,1,11,58,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 12:00,2014,1,1,12,56,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 13:00,2014,1,1,13,68,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 14:00,2014,1,1,14,66,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 15:00,2014,1,1,15,66,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 16:00,2014,1,1,16,73,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 17:00,2014,1,1,17,79,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 18:00,2014,1,1,18,89,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 19:00,2014,1,1,19,100,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 20:00,2014,1,1,20,109,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 21:00,2014,1,1,21,127,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 22:00,2014,1,1,22,138,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/1/14 23:00,2014,1,1,23,118,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 00:00,2014,1,2,0,126,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 01:00,2014,1,2,1,134,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 02:00,2014,1,2,2,149,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 03:00,2014,1,2,3,135,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 04:00,2014,1,2,4,124,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 05:00,2014,1,2,5,125,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 06:00,2014,1,2,6,116,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 07:00,2014,1,2,7,119,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 08:00,2014,1,2,8,130,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 09:00,2014,1,2,9,112,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 10:00,2014,1,2,10,111,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 11:00,2014,1,2,11,107,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 12:00,2014,1,2,12,92,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 13:00,2014,1,2,13,104,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 14:00,2014,1,2,14,98,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 15:00,2014,1,2,15,98,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 16:00,2014,1,2,16,100,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 17:00,2014,1,2,17,104,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 18:00,2014,1,2,18,117,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 19:00,2014,1,2,19,132,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 20:00,2014,1,2,20,155,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 21:00,2014,1,2,21,149,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 22:00,2014,1,2,22,148,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/2/14 23:00,2014,1,2,23,153,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 00:00,2014,1,3,0,145,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 01:00,2014,1,3,1,149,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 02:00,2014,1,3,2,163,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 03:00,2014,1,3,3,152,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 04:00,2014,1,3,4,148,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 05:00,2014,1,3,5,149,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 06:00,2014,1,3,6,151,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 07:00,2014,1,3,7,153,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 08:00,2014,1,3,8,153,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 09:00,2014,1,3,9,157,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 10:00,2014,1,3,10,121,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 11:00,2014,1,3,11,129,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 12:00,2014,1,3,12,136,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 13:00,2014,1,3,13,145,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 14:00,2014,1,3,14,136,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 15:00,2014,1,3,15,119,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 16:00,2014,1,3,16,99,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 17:00,2014,1,3,17,106,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 18:00,2014,1,3,18,122,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 19:00,2014,1,3,19,134,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 20:00,2014,1,3,20,117,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 21:00,2014,1,3,21,99,µg/m_,1 Hr,Valid
Guangzhou,PM2.5,1/3/14 22:00,2014,1,3,22,91,µg/m_,1 Hr,Valid
