Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/1/14 00:00,2014,1,1,0,136,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 01:00,2014,1,1,1,173,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 02:00,2014,1,1,2,166,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 03:00,2014,1,1,3,157,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 04:00,2014,1,1,4,157,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 05:00,2014,1,1,5,147,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 06:00,2014,1,1,6,154,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 07:00,2014,1,1,7,142,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 08:00,2014,1,1,8,137,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 09:00,2014,1,1,9,138,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 10:00,2014,1,1,10,121,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 11:00,2014,1,1,11,100,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 12:00,2014,1,1,12,81,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 13:00,2014,1,1,13,75,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 14:00,2014,1,1,14,78,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 15:00,2014,1,1,15,71,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 16:00,2014,1,1,16,79,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 17:00,2014,1,1,17,84,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 18:00,2014,1,1,18,100,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 19:00,2014,1,1,19,106,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 20:00,2014,1,1,20,142,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 21:00,2014,1,1,21,163,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 22:00,2014,1,1,22,171,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/1/14 23:00,2014,1,1,23,163,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 00:00,2014,1,2,0,174,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 01:00,2014,1,2,1,182,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 02:00,2014,1,2,2,160,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 03:00,2014,1,2,3,132,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 04:00,2014,1,2,4,116,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 05:00,2014,1,2,5,114,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 06:00,2014,1,2,6,99,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 07:00,2014,1,2,7,95,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 08:00,2014,1,2,8,77,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 09:00,2014,1,2,9,81,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 10:00,2014,1,2,10,101,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 11:00,2014,1,2,11,88,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 12:00,2014,1,2,12,63,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 13:00,2014,1,2,13,-999,µg/m_,1 Hr,Missing
Shanghai,PM2.5,1/2/14 14:00,2014,1,2,14,33,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 15:00,2014,1,2,15,44,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 16:00,2014,1,2,16,73,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 17:00,2014,1,2,17,66,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 18:00,2014,1,2,18,71,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 19:00,2014,1,2,19,75,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 20:00,2014,1,2,20,76,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 21:00,2014,1,2,21,74,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 22:00,2014,1,2,22,68,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/2/14 23:00,2014,1,2,23,70,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 00:00,2014,1,3,0,71,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 01:00,2014,1,3,1,68,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 02:00,2014,1,3,2,77,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 03:00,2014,1,3,3,76,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 04:00,2014,1,3,4,76,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 05:00,2014,1,3,5,92,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 06:00,2014,1,3,6,105,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 07:00,2014,1,3,7,107,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 08:00,2014,1,3,8,124,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 09:00,2014,1,3,9,153,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 10:00,2014,1,3,10,158,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 11:00,2014,1,3,11,149,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 12:00,2014,1,3,12,164,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 13:00,2014,1,3,13,123,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 14:00,2014,1,3,14,95,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 15:00,2014,1,3,15,97,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 16:00,2014,1,3,16,110,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 17:00,2014,1,3,17,139,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 18:00,2014,1,3,18,150,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 19:00,2014,1,3,19,161,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 20:00,2014,1,3,20,190,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 21:00,2014,1,3,21,212,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 22:00,2014,1,3,22,225,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/3/14 23:00,2014,1,3,23,196,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 00:00,2014,1,4,0,208,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 01:00,2014,1,4,1,229,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 02:00,2014,1,4,2,251,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 03:00,2014,1,4,3,209,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 04:00,2014,1,4,4,189,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 05:00,2014,1,4,5,170,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 06:00,2014,1,4,6,110,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 07:00,2014,1,4,7,86,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 08:00,2014,1,4,8,80,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 09:00,2014,1,4,9,103,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 10:00,2014,1,4,10,98,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 11:00,2014,1,4,11,71,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 12:00,2014,1,4,12,68,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 13:00,2014,1,4,13,80,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 14:00,2014,1,4,14,77,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 15:00,2014,1,4,15,59,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 16:00,2014,1,4,16,61,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 17:00,2014,1,4,17,55,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 18:00,2014,1,4,18,47,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 19:00,2014,1,4,19,34,µg/m_,1 Hr,Valid
Shanghai,PM2.5,1/4/14 20:00,2014,1,4,20,28,µg/m_,1 Hr,Valid
